,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
HOUSING OCCUPANCY,    Total housing units,"2,313,616",±360,"2,313,616",(X),"327,889",±219,"327,889",(X),"3,138,685",±419,"3,138,685",(X),"1,380,768",±294,"1,380,768",(X),"14,512,149","±1,218","14,512,149",(X),"2,540,783",±353,"2,540,783",(X),"1,536,327",±369,"1,536,327",(X),"457,978",±419,"457,978",(X),"357,482",±47,"357,482",(X),"10,054,509",±692,"10,054,509",(X),"4,475,242",±715,"4,475,242",(X),"564,878",±118,"564,878",(X),"775,330",±165,"775,330",(X),"5,440,294",±583,"5,440,294",(X),"2,950,121",±809,"2,950,121",(X),"1,426,039",±267,"1,426,039",(X),"1,284,353",±200,"1,284,353",(X),"2,008,227",±316,"2,008,227",(X),"2,093,387",±356,"2,093,387",(X),"744,620",±973,"744,620",(X),"2,546,364",±423,"2,546,364",(X),"3,017,772",±315,"3,017,772",(X),"4,590,384",±648,"4,590,384",(X),"2,517,173",±542,"2,517,173",(X),"1,332,041",±222,"1,332,041",(X),"2,807,632",±277,"2,807,632",(X),"521,916",±188,"521,916",(X),"854,298",±175,"854,298",(X),"1,305,534",±192,"1,305,534",(X),"643,979",±131,"643,979",(X),"3,779,591","±1,544","3,779,591",(X),"948,042",±368,"948,042",(X),"8,530,561",±867,"8,530,561",(X),"4,801,698",±420,"4,801,698",(X),"374,435",±225,"374,435",(X),"5,269,498",±445,"5,269,498",(X),"1,762,113",±243,"1,762,113",(X),"1,837,009",±316,"1,837,009",(X),"5,770,472",±639,"5,770,472",(X),"484,925",±184,"484,925",(X),"2,395,957",±268,"2,395,957",(X),"400,688",±380,"400,688",(X),"3,087,992",±386,"3,087,992",(X),"11,867,820","±1,642","11,867,820",(X),"1,190,154",±220,"1,190,154",(X),"336,747",±140,"336,747",(X),"3,652,329",±452,"3,652,329",(X),"3,257,140",±888,"3,257,140",(X),"858,462",±264,"858,462",(X),"2,748,274","±1,039","2,748,274",(X),"274,373",±94,"274,373",(X),"1,526,801","±7,559","1,526,801",(X)
HOUSING OCCUPANCY,        Occupied housing units,"1,967,559","±10,527",85.00%,±0.5,"271,311","±3,313",82.70%,±1.0,"2,817,723","±10,850",89.80%,±0.3,"1,183,675","±7,882",85.70%,±0.6,"13,429,063","±19,170",92.50%,±0.1,"2,313,042","±8,099",91.00%,±0.3,"1,428,313","±5,900",93.00%,±0.4,"395,656","±4,126",86.40%,±0.9,"319,565","±3,541",89.40%,±1.0,"8,565,329","±25,039",85.20%,±0.2,"4,001,109","±12,817",89.40%,±0.3,"490,080","±5,054",86.80%,±0.9,"693,882","±4,348",89.50%,±0.6,"4,991,641","±12,428",91.80%,±0.2,"2,680,694","±9,238",90.90%,±0.3,"1,300,467","±6,514",91.20%,±0.5,"1,159,026","±5,714",90.20%,±0.4,"1,785,682","±8,799",88.90%,±0.4,"1,783,924","±7,696",85.20%,±0.4,"593,626","±5,251",79.70%,±0.7,"2,355,652","±6,143",92.50%,±0.2,"2,759,018","±9,086",91.40%,±0.3,"4,051,798","±10,574",88.30%,±0.2,"2,281,033","±6,734",90.60%,±0.3,"1,129,611","±8,212",84.80%,±0.6,"2,468,726","±10,224",87.90%,±0.4,"448,949","±4,159",86.00%,±0.8,"785,982","±4,212",92.00%,±0.5,"1,191,380","±6,445",91.30%,±0.5,"548,026","±4,691",85.10%,±0.7,"3,497,945","±8,126",92.50%,±0.2,"834,007","±4,770",88.00%,±0.5,"7,652,666","±17,305",89.70%,±0.2,"4,179,632","±15,192",87.00%,±0.3,"322,511","±3,883",86.10%,±1.1,"4,832,922","±10,937",91.70%,±0.2,"1,547,967","±6,458",87.80%,±0.4,"1,702,599","±8,524",92.70%,±0.5,"5,228,956","±12,804",90.60%,±0.2,"440,170","±4,169",90.80%,±0.9,"2,049,972","±10,471",85.60%,±0.4,"356,887","±3,371",89.10%,±0.8,"2,770,395","±8,851",89.70%,±0.3,"10,796,247","±19,104",91.00%,±0.2,"1,101,499","±5,112",92.60%,±0.4,"270,163","±3,018",80.20%,±0.9,"3,331,461","±10,153",91.20%,±0.3,"3,022,255","±9,423",92.80%,±0.3,"722,201","±5,460",84.10%,±0.6,"2,449,970","±6,685",89.10%,±0.3,"242,763","±2,909",88.50%,±1.1,"1,165,982","±9,161",76.40%,±0.5
HOUSING OCCUPANCY,        Vacant housing units,"346,057","±10,517",15.00%,±0.5,"56,578","±3,295",17.30%,±1.0,"320,962","±10,859",10.20%,±0.3,"197,093","±7,963",14.30%,±0.6,"1,083,086","±19,253",7.50%,±0.1,"227,741","±8,167",9.00%,±0.3,"108,014","±5,966",7.00%,±0.4,"62,322","±4,191",13.60%,±0.9,"37,917","±3,551",10.60%,±1.0,"1,489,180","±25,030",14.80%,±0.2,"474,133","±12,750",10.60%,±0.3,"74,798","±5,065",13.20%,±0.9,"81,448","±4,369",10.50%,±0.6,"448,653","±12,484",8.20%,±0.2,"269,427","±9,431",9.10%,±0.3,"125,572","±6,593",8.80%,±0.5,"125,327","±5,748",9.80%,±0.4,"222,545","±8,817",11.10%,±0.4,"309,463","±7,783",14.80%,±0.4,"150,994","±5,317",20.30%,±0.7,"190,712","±6,208",7.50%,±0.2,"258,754","±9,108",8.60%,±0.3,"538,586","±10,625",11.70%,±0.2,"236,140","±6,843",9.40%,±0.3,"202,430","±8,266",15.20%,±0.6,"338,906","±10,278",12.10%,±0.4,"72,967","±4,190",14.00%,±0.8,"68,316","±4,255",8.00%,±0.5,"114,154","±6,493",8.70%,±0.5,"95,953","±4,713",14.90%,±0.7,"281,646","±8,497",7.50%,±0.2,"114,035","±4,727",12.00%,±0.5,"877,895","±17,144",10.30%,±0.2,"622,066","±15,195",13.00%,±0.3,"51,924","±3,951",13.90%,±1.1,"436,576","±11,064",8.30%,±0.2,"214,146","±6,472",12.20%,±0.4,"134,410","±8,491",7.30%,±0.5,"541,516","±12,949",9.40%,±0.2,"44,755","±4,193",9.20%,±0.9,"345,985","±10,471",14.40%,±0.4,"43,801","±3,402",10.90%,±0.8,"317,597","±8,868",10.30%,±0.3,"1,071,573","±19,462",9.00%,±0.2,"88,655","±5,141",7.40%,±0.4,"66,584","±3,046",19.80%,±0.9,"320,868","±10,165",8.80%,±0.3,"234,885","±9,678",7.20%,±0.3,"136,261","±5,486",15.90%,±0.6,"298,304","±6,904",10.90%,±0.3,"31,610","±2,929",11.50%,±1.1,"360,819","±8,282",23.60%,±0.5
HOUSING OCCUPANCY,        Homeowner vacancy rate,1,±0.2,(X),(X),0.7,±0.3,(X),(X),0.8,±0.1,(X),(X),1.1,±0.2,(X),(X),0.7,±0.1,(X),(X),0.7,±0.2,(X),(X),0.6,±0.2,(X),(X),1.1,±0.3,(X),(X),1.9,±0.7,(X),(X),1.1,±0.1,(X),(X),1,±0.1,(X),(X),1.1,±0.4,(X),(X),0.3,±0.2,(X),(X),1.1,±0.1,(X),(X),0.8,±0.1,(X),(X),0.8,±0.2,(X),(X),1,±0.2,(X),(X),0.9,±0.1,(X),(X),1.2,±0.2,(X),(X),0.5,±0.1,(X),(X),1,±0.2,(X),(X),0.6,±0.1,(X),(X),0.8,±0.1,(X),(X),0.5,±0.1,(X),(X),0.9,±0.2,(X),(X),1,±0.1,(X),(X),0.9,±0.3,(X),(X),0.5,±0.2,(X),(X),0.9,±0.2,(X),(X),0.4,±0.2,(X),(X),0.7,±0.1,(X),(X),0.8,±0.2,(X),(X),1,±0.1,(X),(X),1.5,±0.1,(X),(X),1,±0.3,(X),(X),0.8,±0.1,(X),(X),1.2,±0.1,(X),(X),0.6,±0.2,(X),(X),0.8,±0.1,(X),(X),0.7,±0.4,(X),(X),1,±0.2,(X),(X),0.7,±0.3,(X),(X),0.8,±0.1,(X),(X),0.9,±0.1,(X),(X),0.4,±0.2,(X),(X),0.6,±0.3,(X),(X),0.8,±0.1,(X),(X),0.6,±0.1,(X),(X),1.1,±0.2,(X),(X),0.6,±0.1,(X),(X),0.7,±0.4,(X),(X),1.8,±0.2,(X),(X)
HOUSING OCCUPANCY,        Rental vacancy rate,7.2,±0.6,(X),(X),6.6,±1.5,(X),(X),4.1,±0.5,(X),(X),6.3,±0.7,(X),(X),4.1,±0.1,(X),(X),5.7,±0.4,(X),(X),4.1,±0.6,(X),(X),5.3,±1.3,(X),(X),8,±1.2,(X),(X),6.8,±0.3,(X),(X),6.2,±0.4,(X),(X),8,±1.1,(X),(X),3.4,±1.0,(X),(X),5.8,±0.5,(X),(X),5.4,±0.5,(X),(X),5.3,±0.6,(X),(X),5.8,±0.7,(X),(X),4.9,±0.5,(X),(X),6.4,±0.5,(X),(X),3.2,±0.9,(X),(X),4,±0.4,(X),(X),4,±0.4,(X),(X),4.3,±0.4,(X),(X),5.8,±0.5,(X),(X),8.1,±0.9,(X),(X),4.5,±0.5,(X),(X),5.8,±1.1,(X),(X),5.3,±0.8,(X),(X),5.9,±0.6,(X),(X),3.2,±0.9,(X),(X),3.5,±0.3,(X),(X),4.6,±0.8,(X),(X),4.2,±0.2,(X),(X),6.2,±0.4,(X),(X),10.7,±1.8,(X),(X),4,±0.4,(X),(X),6.4,±0.6,(X),(X),3.2,±0.5,(X),(X),5,±0.3,(X),(X),4.2,±1.0,(X),(X),8.9,±0.7,(X),(X),5,±1.1,(X),(X),5.8,±0.5,(X),(X),6.5,±0.3,(X),(X),5,±0.7,(X),(X),2.4,±0.9,(X),(X),4.6,±0.4,(X),(X),4,±0.4,(X),(X),6.5,±1.1,(X),(X),4.5,±0.4,(X),(X),5.9,±1.5,(X),(X),5.7,±0.5,(X),(X)
UNITS IN STRUCTURE,    Total housing units,"2,313,616",±360,"2,313,616",(X),"327,889",±219,"327,889",(X),"3,138,685",±419,"3,138,685",(X),"1,380,768",±294,"1,380,768",(X),"14,512,149","±1,218","14,512,149",(X),"2,540,783",±353,"2,540,783",(X),"1,536,327",±369,"1,536,327",(X),"457,978",±419,"457,978",(X),"357,482",±47,"357,482",(X),"10,054,509",±692,"10,054,509",(X),"4,475,242",±715,"4,475,242",(X),"564,878",±118,"564,878",(X),"775,330",±165,"775,330",(X),"5,440,294",±583,"5,440,294",(X),"2,950,121",±809,"2,950,121",(X),"1,426,039",±267,"1,426,039",(X),"1,284,353",±200,"1,284,353",(X),"2,008,227",±316,"2,008,227",(X),"2,093,387",±356,"2,093,387",(X),"744,620",±973,"744,620",(X),"2,546,364",±423,"2,546,364",(X),"3,017,772",±315,"3,017,772",(X),"4,590,384",±648,"4,590,384",(X),"2,517,173",±542,"2,517,173",(X),"1,332,041",±222,"1,332,041",(X),"2,807,632",±277,"2,807,632",(X),"521,916",±188,"521,916",(X),"854,298",±175,"854,298",(X),"1,305,534",±192,"1,305,534",(X),"643,979",±131,"643,979",(X),"3,779,591","±1,544","3,779,591",(X),"948,042",±368,"948,042",(X),"8,530,561",±867,"8,530,561",(X),"4,801,698",±420,"4,801,698",(X),"374,435",±225,"374,435",(X),"5,269,498",±445,"5,269,498",(X),"1,762,113",±243,"1,762,113",(X),"1,837,009",±316,"1,837,009",(X),"5,770,472",±639,"5,770,472",(X),"484,925",±184,"484,925",(X),"2,395,957",±268,"2,395,957",(X),"400,688",±380,"400,688",(X),"3,087,992",±386,"3,087,992",(X),"11,867,820","±1,642","11,867,820",(X),"1,190,154",±220,"1,190,154",(X),"336,747",±140,"336,747",(X),"3,652,329",±452,"3,652,329",(X),"3,257,140",±888,"3,257,140",(X),"858,462",±264,"858,462",(X),"2,748,274","±1,039","2,748,274",(X),"274,373",±94,"274,373",(X),"1,526,801","±7,559","1,526,801",(X)
UNITS IN STRUCTURE,"        1-unit, detached","1,621,362","±11,134",70.10%,±0.5,"205,054","±3,254",62.50%,±1.0,"2,031,053","±14,200",64.70%,±0.5,"977,010","±8,880",70.80%,±0.6,"8,301,530","±27,680",57.20%,±0.2,"1,585,754","±11,271",62.40%,±0.4,"907,419","±9,942",59.10%,±0.7,"267,294","±5,055",58.40%,±1.1,"39,867","±2,871",11.20%,±0.8,"5,525,394","±24,879",55.00%,±0.2,"3,013,266","±19,566",67.30%,±0.4,"296,149","±5,888",52.40%,±1.0,"570,985","±7,894",73.60%,±1.0,"3,197,378","±15,097",58.80%,±0.3,"2,171,846","±9,727",73.60%,±0.3,"1,043,570","±8,120",73.20%,±0.6,"929,382","±7,198",72.40%,±0.6,"1,361,823","±9,766",67.80%,±0.5,"1,387,808","±14,062",66.30%,±0.7,"525,880","±6,250",70.60%,±0.9,"1,321,828","±10,217",51.90%,±0.4,"1,558,248","±11,029",51.60%,±0.4,"3,319,282","±13,847",72.30%,±0.3,"1,678,784","±10,241",66.70%,±0.4,"933,246","±9,582",70.10%,±0.7,"1,984,774","±12,027",70.70%,±0.4,"365,609","±5,351",70.10%,±1.0,"618,456","±5,440",72.40%,±0.6,"793,296","±8,799",60.80%,±0.7,"412,356","±5,985",64.00%,±0.9,"2,027,880","±13,759",53.70%,±0.4,"612,219","±7,697",64.60%,±0.8,"3,590,408","±18,527",42.10%,±0.2,"3,136,378","±17,667",65.30%,±0.4,"215,479","±5,165",57.50%,±1.4,"3,647,285","±18,666",69.20%,±0.4,"1,291,457","±7,506",73.30%,±0.4,"1,168,683","±12,041",63.60%,±0.7,"3,298,868","±16,285",57.20%,±0.3,"272,238","±5,396",56.10%,±1.1,"1,541,721","±11,168",64.30%,±0.5,"275,249","±4,116",68.70%,±1.0,"2,131,963","±15,476",69.00%,±0.5,"7,698,136","±28,619",64.90%,±0.2,"799,053","±7,970",67.10%,±0.7,"226,665","±3,898",67.30%,±1.2,"2,249,172","±15,290",61.60%,±0.4,"2,045,045","±13,027",62.80%,±0.4,"610,755","±6,627",71.10%,±0.8,"1,832,041","±11,679",66.70%,±0.4,"187,670","±3,492",68.40%,±1.3,"1,054,319","±10,077",69.10%,±0.5
UNITS IN STRUCTURE,"        1-unit, attached","42,163","±3,964",1.80%,±0.2,"29,009","±2,670",8.80%,±0.8,"170,497","±6,343",5.40%,±0.2,"26,442","±2,734",1.90%,±0.2,"1,088,722","±17,157",7.50%,±0.1,"187,978","±6,643",7.40%,±0.3,"104,406","±5,705",6.80%,±0.4,"73,045","±3,851",15.90%,±0.8,"79,286","±3,771",22.20%,±1.1,"668,465","±14,802",6.60%,±0.1,"183,725","±7,515",4.10%,±0.2,"52,203","±3,183",9.20%,±0.6,"27,502","±2,739",3.50%,±0.4,"325,855","±9,394",6.00%,±0.2,"119,113","±5,959",4.00%,±0.2,"61,032","±4,500",4.30%,±0.3,"64,266","±3,983",5.00%,±0.3,"59,878","±4,235",3.00%,±0.2,"57,963","±4,556",2.80%,±0.2,"19,129","±1,992",2.60%,±0.3,"538,105","±10,394",21.10%,±0.4,"182,936","±6,910",6.10%,±0.2,"210,257","±6,865",4.60%,±0.1,"187,263","±6,392",7.40%,±0.3,"17,658","±2,353",1.30%,±0.2,"104,123","±6,061",3.70%,±0.2,"21,506","±2,953",4.10%,±0.6,"32,581","±2,497",3.80%,±0.3,"66,161","±4,756",5.10%,±0.4,"36,696","±3,030",5.70%,±0.5,"370,952","±10,105",9.80%,±0.3,"39,678","±3,559",4.20%,±0.4,"458,353","±8,825",5.40%,±0.1,"224,899","±9,591",4.70%,±0.2,"23,294","±2,623",6.20%,±0.7,"241,545","±7,291",4.60%,±0.1,"38,138","±2,837",2.20%,±0.2,"96,733","±5,021",5.30%,±0.3,"1,095,338","±16,452",19.00%,±0.3,"16,193","±2,322",3.30%,±0.5,"80,713","±6,117",3.40%,±0.3,"16,375","±2,353",4.10%,±0.6,"113,246","±6,238",3.70%,±0.2,"357,804","±12,627",3.00%,±0.1,"87,662","±4,684",7.40%,±0.4,"15,467","±1,758",4.60%,±0.5,"406,948","±10,138",11.10%,±0.3,"145,792","±7,836",4.50%,±0.2,"21,917","±2,650",2.60%,±0.3,"120,442","±5,496",4.40%,±0.2,"14,385","±1,996",5.20%,±0.7,"190,536","±6,715",12.50%,±0.4
UNITS IN STRUCTURE,        2 units,"38,803","±3,232",1.70%,±0.1,"15,049","±1,860",4.60%,±0.6,"38,750","±3,344",1.20%,±0.1,"39,022","±3,167",2.80%,±0.2,"332,171","±11,299",2.30%,±0.1,"35,200","±3,212",1.40%,±0.1,"110,242","±5,988",7.20%,±0.4,"5,235","±1,117",1.10%,±0.2,"9,763","±1,656",2.70%,±0.5,"209,253","±7,928",2.10%,±0.1,"92,102","±5,865",2.10%,±0.1,"14,513","±2,425",2.60%,±0.4,"15,941","±2,676",2.10%,±0.3,"284,238","±9,306",5.20%,±0.2,"65,843","±4,543",2.20%,±0.2,"31,611","±2,827",2.20%,±0.2,"32,962","±3,151",2.60%,±0.2,"55,610","±4,252",2.80%,±0.2,"81,995","±5,878",3.90%,±0.3,"32,163","±2,924",4.30%,±0.4,"34,784","±3,794",1.40%,±0.1,"280,471","±8,899",9.30%,±0.3,"100,513","±3,888",2.20%,±0.1,"49,209","±3,705",2.00%,±0.1,"28,620","±3,183",2.10%,±0.2,"86,474","±4,428",3.10%,±0.2,"13,543","±1,834",2.60%,±0.4,"13,853","±2,024",1.60%,±0.2,"15,085","±2,378",1.20%,±0.2,"34,575","±3,129",5.40%,±0.5,"315,690","±9,354",8.40%,±0.2,"13,711","±2,374",1.40%,±0.3,"797,044","±15,070",9.30%,±0.2,"92,137","±5,300",1.90%,±0.1,"7,062","±1,538",1.90%,±0.4,"194,524","±7,952",3.70%,±0.2,"31,341","±2,627",1.80%,±0.1,"44,219","±4,060",2.40%,±0.2,"232,303","±8,366",4.00%,±0.1,"51,479","±4,524",10.60%,±0.9,"48,152","±3,898",2.00%,±0.2,"6,040","±1,264",1.50%,±0.3,"78,284","±4,993",2.50%,±0.2,"221,840","±10,962",1.90%,±0.1,"33,606","±3,311",2.80%,±0.3,"14,569","±1,913",4.30%,±0.6,"59,366","±4,451",1.60%,±0.1,"73,160","±4,678",2.20%,±0.1,"16,141","±2,053",1.90%,±0.2,"166,164","±6,241",6.00%,±0.2,"4,509","±1,143",1.60%,±0.4,"40,795","±3,159",2.70%,±0.2
UNITS IN STRUCTURE,        3 or 4 units,"65,596","±4,469",2.80%,±0.2,"23,024","±2,040",7.00%,±0.6,"102,792","±5,908",3.30%,±0.2,"42,284","±4,225",3.10%,±0.3,"787,587","±17,666",5.40%,±0.1,"77,699","±4,689",3.10%,±0.2,"119,666","±5,924",7.80%,±0.4,"12,597","±1,852",2.80%,±0.4,"24,355","±2,823",6.80%,±0.8,"392,301","±10,558",3.90%,±0.1,"125,782","±7,681",2.80%,±0.2,"22,271","±2,387",3.90%,±0.4,"35,210","±3,585",4.50%,±0.5,"339,771","±8,996",6.20%,±0.2,"105,282","±6,174",3.60%,±0.2,"46,777","±3,709",3.30%,±0.3,"47,896","±3,842",3.70%,±0.3,"86,948","±6,256",4.30%,±0.3,"81,078","±5,766",3.90%,±0.3,"39,785","±3,263",5.30%,±0.4,"52,467","±4,422",2.10%,±0.2,"321,175","±9,935",10.60%,±0.3,"121,608","±5,937",2.60%,±0.1,"54,768","±3,934",2.20%,±0.2,"42,562","±4,480",3.20%,±0.3,"128,822","±6,580",4.60%,±0.2,"24,416","±2,533",4.70%,±0.5,"20,271","±2,216",2.40%,±0.3,"77,259","±5,293",5.90%,±0.4,"33,431","±2,926",5.20%,±0.5,"230,267","±9,045",6.10%,±0.2,"35,152","±3,696",3.70%,±0.4,"566,122","±13,641",6.60%,±0.2,"134,526","±6,610",2.80%,±0.1,"14,313","±2,114",3.80%,±0.6,"222,191","±9,253",4.20%,±0.2,"53,245","±3,646",3.00%,±0.2,"80,214","±4,913",4.40%,±0.3,"225,777","±9,821",3.90%,±0.2,"57,406","±3,197",11.80%,±0.7,"61,869","±5,418",2.60%,±0.2,"12,641","±1,839",3.20%,±0.5,"98,344","±6,423",3.20%,±0.2,"398,834","±13,603",3.40%,±0.1,"47,682","±4,041",4.00%,±0.3,"19,992","±2,001",5.90%,±0.6,"104,278","±6,178",2.90%,±0.2,"114,881","±6,151",3.50%,±0.2,"26,751","±2,805",3.10%,±0.3,"96,911","±5,101",3.50%,±0.2,"12,363","±1,795",4.50%,±0.7,"42,149","±3,218",2.80%,±0.2
